index,Date,AXISBANK,BAJFINANCE,Ratio,change,Daily_gain,Daily_loss
0,09-Mar-20,623.55,8207.1,0.075976898,0,0,0
1,06-Mar-20,657.65,8603.2,0.076442487,0.000465588,0.000465588,0
2,05-Mar-20,677.9,8879.9,0.07634095,-0.000101537,0,0.000101537
3,04-Mar-20,682.2,8799.7,0.07752537,0.00118442,0.00118442,0
4,03-Mar-20,687.15,8963.65,0.07665962,-0.00086575,0,0.00086575
5,02-Mar-20,684.2,8914.5,0.07675136,9.17E-05,9.17E-05,0
6,28-Feb-20,697.3,9050.75,0.077043339,0.000291979,0.000291979,0
7,27-Feb-20,735.85,9408,0.078215349,0.00117201,0.00117201,0
8,26-Feb-20,729.4,9387,0.077703207,-0.000512142,0,0.000512142
9,25-Feb-20,728.75,9525,0.076509186,-0.00119402,0,0.00119402
10,24-Feb-20,725.45,9466.9,0.076630153,0.000120967,0.000120967,0
11,20-Feb-20,744.3,9709.7,0.076655303,2.51E-05,2.51E-05,0
12,19-Feb-20,741.05,9758.65,0.075937758,-0.000717546,0,0.000717546
13,18-Feb-20,733.65,9529.5,0.07698725,0.001049492,0.001049492,0
14,17-Feb-20,738.4,9528.85,0.077490988,0.000503738,0.000503738,0
15,14-Feb-20,736.5,9690.5,0.07600227,-0.001488718,0,0.001488718
16,13-Feb-20,747.8,9717.2,0.076956325,0.000954055,0.000954055,0
17,12-Feb-20,755.25,9771.85,0.077288333,0.000332008,0.000332008,0
18,11-Feb-20,749.95,9731.6,0.077063381,-0.000224952,0,0.000224952
19,10-Feb-20,741.1,9627,0.076981406,-8.20E-05,0,8.20E-05
